緯度(Latitude),經度(Longitude),地標分類
22.998445,120.224301,人行道起點
22.998451,120.218342,路口
22.998453,120.224255,人行道起點
22.998453,120.218341,路口
22.998466,120.21832,人行道起點
22.998466,120.218366,人行道起點
22.998471,120.215201,路口
22.998471,120.218083,路口
22.998488,120.224303,人行道起點
22.998489,120.217875,路口
22.998493,120.224255,人行道起點
22.998577,120.214861,路口
22.998616,120.217045,路口
22.998616,120.21522,路口
22.998711,120.214239,路口
22.998734,120.216491,路口
22.998903,120.220402,路口
22.998948,120.215436,路口
22.999036,120.217959,路口
22.999085,120.215428,路口
22.99909,120.214549,路口
22.999103,120.215293,路口
22.999106,120.214428,路口
22.999122,120.214289,路口
22.999334,120.215358,路口
22.999355,120.216631,路口
22.99937,120.219055,路口
22.999407,120.218451,人行道起點
22.999415,120.218352,人行道起點
22.999502,120.214649,路口
22.999536,120.214428,路口
22.999558,120.217927,路口
22.999577,120.222199,路口
22.999597,120.218377,路口
22.999598,120.215409,路口
22.999615,120.220449,路口
22.999624,120.22194,路口
22.999715,120.217591,路口
22.999825,120.216753,路口
22.9999,120.215422,路口
22.999987,120.21557,路口
22.999998,120.222996,路口
23,120.217861,人行道起點
23.00001,120.22248,路口
23.000029,120.215358,路口
23.000086,120.21547,路口
23.000141,120.214722,路口
23.000209,120.221992,路口
23.000278,120.220427,人行道起點
23.0003,120.220508,路口
23.000319,120.220433,人行道起點
23.00038,120.224705,人行道起點
23.000381,120.224429,人行道起點
23.000392,120.215504,路口
23.000405,120.21773,路口
23.000497,120.21916,路口
23.000581,120.216912,路口
23.000591,120.222394,人行道起點
23.00061,120.222195,人行道起點
23.00062,120.22235,人行道起點
23.000636,120.22473,人行道起點
23.000651,120.224459,人行道起點
23.000697,120.222286,路口
23.000706,120.222286,路口
23.000721,120.220494,人行道起點
23.000732,120.220588,人行道起點
23.000736,120.218597,人行道起點
23.000743,120.218473,人行道起點
23.000785,120.215595,路口
23.000789,120.22238,人行道起點
23.000825,120.222196,人行道起點
23.000827,120.220551,路口
23.000833,120.218625,人行道起點
23.000856,120.218451,人行道起點
23.00093,120.220608,人行道起點
23.000939,120.220509,人行道起點
23.000941,120.218558,路口
23.000996,120.217082,人行道起點
23.001022,120.216921,人行道起點
23.00103,120.218649,人行道起點
23.001048,120.218458,人行道起點
23.001065,120.218624,人行道起點
23.001076,120.2185,人行道起點
23.001097,120.217029,路口
23.001158,120.21711,人行道起點
23.001168,120.217102,人行道起點
23.00118,120.216957,人行道起點
23.00119,120.216982,人行道起點
23.001236,120.214627,人行道起點
23.00126,120.214515,人行道起點
23.001283,120.214686,人行道起點
23.001337,120.214507,人行道起點
23.001388,120.214607,路口
23.001514,120.214734,人行道起點
23.001546,120.214692,人行道起點
23.001577,120.214573,人行道起點
23.001587,120.214604,人行道起點
